local_key,estado,região,uf,cod_uf,cod_municipio,município,população
AC54ACR,Acre,Região Norte,AC,12,13,Acrelândia,14366
AC55ASS,Acre,Região Norte,AC,12,54,Assis Brasil,6986
AC56BRA,Acre,Região Norte,AC,12,104,Brasiléia,24765
AC57BUJ,Acre,Região Norte,AC,12,138,Bujari,9664
AC58CAP,Acre,Região Norte,AC,12,179,Capixaba,11136
AC59CRU,Acre,Região Norte,AC,12,203,Cruzeiro do Sul,82622
AC60EPI,Acre,Região Norte,AC,12,252,Epitaciolândia,17340
AC61FEI,Acre,Região Norte,AC,12,302,Feijó,32360
AC62JOR,Acre,Região Norte,AC,12,328,Jordão,7858
AC63MÂN,Acre,Região Norte,AC,12,336,Mâncio Lima,17910
AC64MAN,Acre,Região Norte,AC,12,344,Manoel Urbano,8886
AC65MAR,Acre,Região Norte,AC,12,351,Marechal Thaumaturgo,17897
AC66PLÁ,Acre,Região Norte,AC,12,385,Plácido de Castro,18510
AC67POR,Acre,Região Norte,AC,12,393,Porto Walter,11353
AC68RIO,Acre,Região Norte,AC,12,401,Rio Branco,383443
AC69ROD,Acre,Região Norte,AC,12,427,Rodrigues Alves,17945
AC70SAN,Acre,Região Norte,AC,12,435,Santa Rosa do Purus,6230
AC71SEN,Acre,Região Norte,AC,12,450,Senador Guiomard,21552
AC72SEN,Acre,Região Norte,AC,12,500,Sena Madureira,43139
AC73TAR,Acre,Região Norte,AC,12,609,Tarauacá,40024
AC74XAP,Acre,Região Norte,AC,12,708,Xapuri,18174
AC75POR,Acre,Região Norte,AC,12,807,Porto Acre,17459
AL1652ÁGU,Alagoas,Região Nordeste,AL,27,102,Água Branca,20467
AL1653ANA,Alagoas,Região Nordeste,AL,27,201,Anadia,17818
AL1654ARA,Alagoas,Região Nordeste,AL,27,300,Arapiraca,234185
AL1655ATA,Alagoas,Região Nordeste,AL,27,409,Atalaia,47744
AL1656BAR,Alagoas,Região Nordeste,AL,27,508,Barra de Santo Antônio,16064
AL1657BAR,Alagoas,Região Nordeste,AL,27,607,Barra de São Miguel,8401
AL1658BAT,Alagoas,Região Nordeste,AL,27,706,Batalha,18757
AL1659BEL,Alagoas,Região Nordeste,AL,27,805,Belém,4453
AL1660BEL,Alagoas,Região Nordeste,AL,27,904,Belo Monte,6797
AL1661BOC,Alagoas,Região Nordeste,AL,27,1001,Boca da Mata,27590
AL1662BRA,Alagoas,Região Nordeste,AL,27,1100,Branquinha,10675
AL1663CAC,Alagoas,Região Nordeste,AL,27,1209,Cacimbinhas,10897
AL1664CAJ,Alagoas,Região Nordeste,AL,27,1308,Cajueiro,21526
AL1665CAM,Alagoas,Região Nordeste,AL,27,1357,Campestre,7024
AL1666CAM,Alagoas,Região Nordeste,AL,27,1407,Campo Alegre,57548
AL1667CAM,Alagoas,Região Nordeste,AL,27,1506,Campo Grande,9692
AL1668CAN,Alagoas,Região Nordeste,AL,27,1605,Canapi,17983
AL1669CAP,Alagoas,Região Nordeste,AL,27,1704,Capela,17354
AL1670CAR,Alagoas,Região Nordeste,AL,27,1803,Carneiros,9155
AL1671CHÃ,Alagoas,Região Nordeste,AL,27,1902,Chã Preta,7427
AL1672COI,Alagoas,Região Nordeste,AL,27,2009,Coité do Nóia,10888
AL1673COL,Alagoas,Região Nordeste,AL,27,2108,Colônia Leopoldina,21926
AL1674COQ,Alagoas,Região Nordeste,AL,27,2207,Coqueiro Seco,5918
AL1675COR,Alagoas,Região Nordeste,AL,27,2306,Coruripe,57498
AL1676CRA,Alagoas,Região Nordeste,AL,27,2355,Craíbas,24510
AL1677DEL,Alagoas,Região Nordeste,AL,27,2405,Delmiro Gouveia,52597
AL1678DOI,Alagoas,Região Nordeste,AL,27,2504,Dois Riachos,11214
AL1679EST,Alagoas,Região Nordeste,AL,27,2553,Estrela de Alagoas,18435
AL1680FEI,Alagoas,Região Nordeste,AL,27,2603,Feira Grande,22481
AL1681FEL,Alagoas,Região Nordeste,AL,27,2702,Feliz Deserto,4806
AL1682FLE,Alagoas,Região Nordeste,AL,27,2801,Flexeiras,12966
AL1683GIR,Alagoas,Região Nordeste,AL,27,2900,Girau do Ponciano,41279
AL1684IBA,Alagoas,Região Nordeste,AL,27,3007,Ibateguara,15840
AL1685IGA,Alagoas,Região Nordeste,AL,27,3106,Igaci,26022
AL1686IGR,Alagoas,Região Nordeste,AL,27,3205,Igreja Nova,24793
AL1687INH,Alagoas,Região Nordeste,AL,27,3304,Inhapi,18652
AL1688JAC,Alagoas,Região Nordeste,AL,27,3403,Jacaré dos Homens,5356
AL1689JAC,Alagoas,Região Nordeste,AL,27,3502,Jacuípe,7135
AL1690JAP,Alagoas,Região Nordeste,AL,27,3601,Japaratinga,8453
AL1691JAR,Alagoas,Região Nordeste,AL,27,3700,Jaramataia,5676
AL1692JEQ,Alagoas,Região Nordeste,AL,27,3759,Jequiá da Praia,11782
AL1693JOA,Alagoas,Região Nordeste,AL,27,3809,Joaquim Gomes,24280
AL1694JUN,Alagoas,Região Nordeste,AL,27,3908,Jundiá,4231
AL1695JUN,Alagoas,Região Nordeste,AL,27,4005,Junqueiro,25093
AL1696LAG,Alagoas,Região Nordeste,AL,27,4104,Lagoa da Canoa,18175
AL1697LIM,Alagoas,Região Nordeste,AL,27,4203,Limoeiro de Anadia,28953
AL1698MAC,Alagoas,Região Nordeste,AL,27,4302,Maceió,1029129
AL1699MAJ,Alagoas,Região Nordeste,AL,27,4401,Major Isidoro,20200
AL1700MAR,Alagoas,Região Nordeste,AL,27,4500,Maragogi,32940
AL1701MAR,Alagoas,Região Nordeste,AL,27,4609,Maravilha,9418
AL1702MAR,Alagoas,Região Nordeste,AL,27,4708,Marechal Deodoro,52260
AL1703MAR,Alagoas,Região Nordeste,AL,27,4807,Maribondo,13514
AL1704MAR,Alagoas,Região Nordeste,AL,27,4906,Mar Vermelho,3579
AL1705MAT,Alagoas,Região Nordeste,AL,27,5002,Mata Grande,25589
AL1706MAT,Alagoas,Região Nordeste,AL,27,5101,Matriz de Camaragibe,25012
AL1707MES,Alagoas,Região Nordeste,AL,27,5200,Messias,17988
AL1708MIN,Alagoas,Região Nordeste,AL,27,5309,Minador do Negrão,5413
AL1709MON,Alagoas,Região Nordeste,AL,27,5408,Monteirópolis,7260
AL1710MUR,Alagoas,Região Nordeste,AL,27,5507,Murici,28579
AL1711NOV,Alagoas,Região Nordeste,AL,27,5606,Novo Lino,12821
AL1712OLH,Alagoas,Região Nordeste,AL,27,5705,Olho d'Água das Flores,21767
AL1713OLH,Alagoas,Região Nordeste,AL,27,5804,Olho d'Água do Casado,9459
AL1714OLH,Alagoas,Região Nordeste,AL,27,5903,Olho d'Água Grande,5195
AL1715OLI,Alagoas,Região Nordeste,AL,27,6000,Olivença,11772
AL1716OUR,Alagoas,Região Nordeste,AL,27,6109,Ouro Branco,11635
AL1717PAL,Alagoas,Região Nordeste,AL,27,6208,Palestina,5066
AL1718PAL,Alagoas,Região Nordeste,AL,27,6307,Palmeira dos Índios,74208
AL1719PÃO,Alagoas,Região Nordeste,AL,27,6406,Pão de Açúcar,24792
AL1720PAR,Alagoas,Região Nordeste,AL,27,6422,Pariconha,10684
AL1721PAR,Alagoas,Região Nordeste,AL,27,6448,Paripueira,13252
AL1722PAS,Alagoas,Região Nordeste,AL,27,6505,Passo de Camaragibe,15461
AL1723PAU,Alagoas,Região Nordeste,AL,27,6604,Paulo Jacinto,7679
AL1724PEN,Alagoas,Região Nordeste,AL,27,6703,Penedo,64497
AL1725PIA,Alagoas,Região Nordeste,AL,27,6802,Piaçabuçu,18074
AL1726PIL,Alagoas,Região Nordeste,AL,27,6901,Pilar,35552
AL1727PIN,Alagoas,Região Nordeste,AL,27,7008,Pindoba,2953
AL1728PIR,Alagoas,Região Nordeste,AL,27,7107,Piranhas,25298
AL1729POÇ,Alagoas,Região Nordeste,AL,27,7206,Poço das Trincheiras,14575
AL1730POR,Alagoas,Região Nordeste,AL,27,7305,Porto Calvo,27501
AL1731POR,Alagoas,Região Nordeste,AL,27,7404,Porto de Pedras,7965
AL1732POR,Alagoas,Região Nordeste,AL,27,7503,Porto Real do Colégio,20327
AL1733QUE,Alagoas,Região Nordeste,AL,27,7602,Quebrangulo,11496
AL1734RIO,Alagoas,Região Nordeste,AL,27,7701,Rio Largo,76019
AL1735ROT,Alagoas,Região Nordeste,AL,27,7800,Roteiro,6774
AL1736SAN,Alagoas,Região Nordeste,AL,27,7909,Santa Luzia do Norte,7386
AL1737SAN,Alagoas,Região Nordeste,AL,27,8006,Santana do Ipanema,48232
AL1738SAN,Alagoas,Região Nordeste,AL,27,8105,Santana do Mundaú,10899
AL1739SÃO,Alagoas,Região Nordeste,AL,27,8204,São Brás,7058
AL1740SÃO,Alagoas,Região Nordeste,AL,27,8303,São José da Laje,24226
AL1741SÃO,Alagoas,Região Nordeste,AL,27,8402,São José da Tapera,32626
AL1742SÃO,Alagoas,Região Nordeste,AL,27,8501,São Luís do Quitunde,34961
AL1743SÃO,Alagoas,Região Nordeste,AL,27,8600,São Miguel dos Campos,61827
AL1744SÃO,Alagoas,Região Nordeste,AL,27,8709,São Miguel dos Milagres,8022
AL1745SÃO,Alagoas,Região Nordeste,AL,27,8808,São Sebastião,34551
AL1746SAT,Alagoas,Região Nordeste,AL,27,8907,Satuba,13949
AL1747SEN,Alagoas,Região Nordeste,AL,27,8956,Senador Rui Palmeira,14036
AL1748TAN,Alagoas,Região Nordeste,AL,27,9004,Tanque d'Arca,6270
AL1749TAQ,Alagoas,Região Nordeste,AL,27,9103,Taquarana,20205
AL1750TEO,Alagoas,Região Nordeste,AL,27,9152,Teotônio Vilela,44666
AL1751TRA,Alagoas,Região Nordeste,AL,27,9202,Traipu,28070
AL1752UNI,Alagoas,Região Nordeste,AL,27,9301,União dos Palmares,66477
AL1753VIÇ,Alagoas,Região Nordeste,AL,27,9400,Viçosa,26143
AM76ALV,Amazonas,Região Norte,AM,13,29,Alvarães,15908
AM77AMA,Amazonas,Região Norte,AM,13,60,Amaturá,11242
AM78ANA,Amazonas,Região Norte,AM,13,86,Anamã,12978
AM79ANO,Amazonas,Região Norte,AM,13,102,Anori,20196
AM80APU,Amazonas,Região Norte,AM,13,144,Apuí,21406
AM81ATA,Amazonas,Região Norte,AM,13,201,Atalaia do Norte,19054
AM82AUT,Amazonas,Região Norte,AM,13,300,Autazes,38454
AM83BAR,Amazonas,Região Norte,AM,13,409,Barcelos,27743
AM84BAR,Amazonas,Região Norte,AM,13,508,Barreirinha,31542
AM85BEN,Amazonas,Região Norte,AM,13,607,Benjamin Constant,41329
AM86BER,Amazonas,Região Norte,AM,13,631,Beruri,18978
AM87BOA,Amazonas,Região Norte,AM,13,680,Boa Vista do Ramos,18483
AM88BOC,Amazonas,Região Norte,AM,13,706,Boca do Acre,34176
AM89BOR,Amazonas,Região Norte,AM,13,805,Borba,40464
AM90CAA,Amazonas,Região Norte,AM,13,839,Caapiranga,12820
AM91CAN,Amazonas,Região Norte,AM,13,904,Canutama,15490
AM92CAR,Amazonas,Região Norte,AM,13,1001,Carauari,28337
AM93CAR,Amazonas,Região Norte,AM,13,1100,Careiro,37399
AM94CAR,Amazonas,Região Norte,AM,13,1159,Careiro da Várzea,29190
AM95COA,Amazonas,Região Norte,AM,13,1209,Coari,84762
AM96COD,Amazonas,Região Norte,AM,13,1308,Codajás,27817
AM97EIR,Amazonas,Região Norte,AM,13,1407,Eirunepé,34888
AM98ENV,Amazonas,Região Norte,AM,13,1506,Envira,19492
AM99FON,Amazonas,Região Norte,AM,13,1605,Fonte Boa,19669
AM100GUA,Amazonas,Região Norte,AM,13,1654,Guajará,16339
AM101HUM,Amazonas,Região Norte,AM,13,1704,Humaitá,53383
AM102IPI,Amazonas,Região Norte,AM,13,1803,Ipixuna,28299
AM103IRA,Amazonas,Região Norte,AM,13,1852,Iranduba,47407
AM104ITA,Amazonas,Região Norte,AM,13,1902,Itacoatiara,99854
AM105ITA,Amazonas,Região Norte,AM,13,1951,Itamarati,8128
AM106ITA,Amazonas,Região Norte,AM,13,2009,Itapiranga,9125
AM107JAP,Amazonas,Região Norte,AM,13,2108,Japurá,4205
AM108JUR,Amazonas,Região Norte,AM,13,2207,Juruá,13956
AM109JUT,Amazonas,Região Norte,AM,13,2306,Jutaí,15824
AM110LÁB,Amazonas,Região Norte,AM,13,2405,Lábrea,44861
AM111MAN,Amazonas,Região Norte,AM,13,2504,Manacapuru,96460
AM112MAN,Amazonas,Região Norte,AM,13,2553,Manaquiri,30222
AM113MAN,Amazonas,Região Norte,AM,13,2603,Manaus,2130264
AM114MAN,Amazonas,Região Norte,AM,13,2702,Manicoré,54708
AM115MAR,Amazonas,Região Norte,AM,13,2801,Maraã,18531
AM116MAU,Amazonas,Região Norte,AM,13,2900,Maués,62212
AM117NHA,Amazonas,Região Norte,AM,13,3007,Nhamundá,20902
AM118NOV,Amazonas,Região Norte,AM,13,3106,Nova Olinda do Norte,36431
AM119NOV,Amazonas,Região Norte,AM,13,3205,Novo Airão,18586
AM120NOV,Amazonas,Região Norte,AM,13,3304,Novo Aripuanã,25112
AM121PAR,Amazonas,Região Norte,AM,13,3403,Parintins,113832
AM122PAU,Amazonas,Região Norte,AM,13,3502,Pauini,19597
AM123PRE,Amazonas,Região Norte,AM,13,3536,Presidente Figueiredo,34574
AM124RIO,Amazonas,Região Norte,AM,13,3569,Rio Preto da Eva,32001
AM125SAN,Amazonas,Região Norte,AM,13,3601,Santa Isabel do Rio Negro,23765
AM126SAN,Amazonas,Região Norte,AM,13,3700,Santo Antônio do Içá,23075
AM127SÃO,Amazonas,Região Norte,AM,13,3809,São Gabriel da Cachoeira,44553
AM128SÃO,Amazonas,Região Norte,AM,13,3908,São Paulo de Olivença,38047
AM129SÃO,Amazonas,Região Norte,AM,13,3957,São Sebastião do Uatumã,13421
AM130SIL,Amazonas,Região Norte,AM,13,4005,Silves,9211
AM131TAB,Amazonas,Região Norte,AM,13,4062,Tabatinga,63635
AM132TAP,Amazonas,Região Norte,AM,13,4104,Tapauá,17930
AM133TEF,Amazonas,Região Norte,AM,13,4203,Tefé,62021
AM134TON,Amazonas,Região Norte,AM,13,4237,Tonantins,18782
AM135UAR,Amazonas,Região Norte,AM,13,4260,Uarini,13428
AM136URU,Amazonas,Região Norte,AM,13,4302,Urucará,16968
AM137URU,Amazonas,Região Norte,AM,13,4401,Urucurituba,22148
AP297SER,Amapá,Região Norte,AP,16,55,Serra do Navio,5111
AP298AMA,Amapá,Região Norte,AP,16,105,Amapá,8757
AP299PED,Amapá,Região Norte,AP,16,154,Pedra Branca do Amapari,15125
AP300CAL,Amapá,Região Norte,AP,16,204,Calçoene,10525
AP301CUT,Amapá,Região Norte,AP,16,212,Cutias,5637
AP302FER,Amapá,Região Norte,AP,16,238,Ferreira Gomes,7270
AP303ITA,Amapá,Região Norte,AP,16,253,Itaubal,5172
AP304LAR,Amapá,Região Norte,AP,16,279,Laranjal do Jari,47554
AP305MAC,Amapá,Região Norte,AP,16,303,Macapá,474706
AP306MAZ,Amapá,Região Norte,AP,16,402,Mazagão,20387
AP307OIA,Amapá,Região Norte,AP,16,501,Oiapoque,25514
AP308POR,Amapá,Região Norte,AP,16,535,Porto Grande,20611
AP309PRA,Amapá,Região Norte,AP,16,550,Pracuúba,4779
AP310SAN,Amapá,Região Norte,AP,16,600,Santana,115471
AP311TAR,Amapá,Região Norte,AP,16,709,Tartarugalzinho,16112
AP312VIT,Amapá,Região Norte,AP,16,808,Vitória do Jari,14991
BA1829ABA,Bahia,Região Nordeste,BA,29,108,Abaíra,9199
BA1830ABA,Bahia,Região Nordeste,BA,29,207,Abaré,20189
BA1831ACA,Bahia,Região Nordeste,BA,29,306,Acajutiba,15727
BA1832ADU,Bahia,Região Nordeste,BA,29,355,Adustina,17349
BA1833ÁGU,Bahia,Região Nordeste,BA,29,405,Água Fria,17508
BA1834ÉRI,Bahia,Região Nordeste,BA,29,504,Érico Cardoso,11212
BA1835AIQ,Bahia,Região Nordeste,BA,29,603,Aiquara,4725
BA1836ALA,Bahia,Região Nordeste,BA,29,702,Alagoinhas,155979
BA1837ALC,Bahia,Região Nordeste,BA,29,801,Alcobaça,23376
BA1838ALM,Bahia,Região Nordeste,BA,29,900,Almadina,5985
BA1839AMA,Bahia,Região Nordeste,BA,29,1007,Amargosa,38259
BA1840AMÉ,Bahia,Região Nordeste,BA,29,1106,Amélia Rodrigues,26409
BA1841AMÉ,Bahia,Região Nordeste,BA,29,1155,América Dourada,16798
BA1842ANA,Bahia,Região Nordeste,BA,29,1205,Anagé,19568
BA1843AND,Bahia,Região Nordeste,BA,29,1304,Andaraí,13737
BA1844AND,Bahia,Região Nordeste,BA,29,1353,Andorinha,15490
BA1845ANG,Bahia,Região Nordeste,BA,29,1403,Angical,14690
BA1846ANG,Bahia,Região Nordeste,BA,29,1502,Anguera,11481
BA1847ANT,Bahia,Região Nordeste,BA,29,1601,Antas,19569
BA1848ANT,Bahia,Região Nordeste,BA,29,1700,Antônio Cardoso,12208
BA1849ANT,Bahia,Região Nordeste,BA,29,1809,Antônio Gonçalves,12072
BA1850APO,Bahia,Região Nordeste,BA,29,1908,Aporá,18334
BA1851APU,Bahia,Região Nordeste,BA,29,1957,Apuarema,7730
BA1852ARA,Bahia,Região Nordeste,BA,29,2005,Aracatu,13962
BA1853ARA,Bahia,Região Nordeste,BA,29,2054,Araças,12608
BA1854ARA,Bahia,Região Nordeste,BA,29,2104,Araci,55935
BA1855ARA,Bahia,Região Nordeste,BA,29,2203,Aramari,11703
BA1856ARA,Bahia,Região Nordeste,BA,29,2252,Arataca,11661
BA1857ARA,Bahia,Região Nordeste,BA,29,2302,Aratuípe,9171
BA1858AUR,Bahia,Região Nordeste,BA,29,2401,Aurelino Leal,12706
BA1859BAI,Bahia,Região Nordeste,BA,29,2500,Baianópolis,14323
BA1860BAI,Bahia,Região Nordeste,BA,29,2609,Baixa Grande,21403
BA1861BAN,Bahia,Região Nordeste,BA,29,2658,Banzaê,13765
BA1862BAR,Bahia,Região Nordeste,BA,29,2708,Barra,54915
BA1863BAR,Bahia,Região Nordeste,BA,29,2807,Barra da Estiva,22082
BA1864BAR,Bahia,Região Nordeste,BA,29,2906,Barra do Choça,34121
BA1865BAR,Bahia,Região Nordeste,BA,29,3003,Barra do Mendes,14560
BA1866BAR,Bahia,Região Nordeste,BA,29,3102,Barra do Rocha,6258
BA1867BAR,Bahia,Região Nordeste,BA,29,3201,Barreiras,157638
BA1868BAR,Bahia,Região Nordeste,BA,29,3235,Barro Alto,15217
BA1869BAR,Bahia,Região Nordeste,BA,29,3276,Barrocas,16296
BA1870BAR,Bahia,Região Nordeste,BA,29,3300,Barro Preto,6251
BA1871BEL,Bahia,Região Nordeste,BA,29,3409,Belmonte,24013
BA1872BEL,Bahia,Região Nordeste,BA,29,3508,Belo Campo,18247
BA1873BIR,Bahia,Região Nordeste,BA,29,3607,Biritinga,16653
BA1874BOA,Bahia,Região Nordeste,BA,29,3706,Boa Nova,14069
BA1875BOA,Bahia,Região Nordeste,BA,29,3805,Boa Vista do Tupim,19502
BA1876BOM,Bahia,Região Nordeste,BA,29,3904,Bom Jesus da Lapa,70618
BA1877BOM,Bahia,Região Nordeste,BA,29,3953,Bom Jesus da Serra,10477
BA1878BON,Bahia,Região Nordeste,BA,29,4001,Boninal,14760
BA1879BON,Bahia,Região Nordeste,BA,29,4050,Bonito,17131
BA1880BOQ,Bahia,Região Nordeste,BA,29,4100,Boquira,22464
BA1881BOT,Bahia,Região Nordeste,BA,29,4209,Botuporã,10898
BA1882BRE,Bahia,Região Nordeste,BA,29,4308,Brejões,15122
BA1883BRE,Bahia,Região Nordeste,BA,29,4407,Brejolândia,10833
BA1884BRO,Bahia,Região Nordeste,BA,29,4506,Brotas de Macaúbas,10974
BA1885BRU,Bahia,Região Nordeste,BA,29,4605,Brumado,69677
BA1886BUE,Bahia,Região Nordeste,BA,29,4704,Buerarema,19256
BA1887BUR,Bahia,Região Nordeste,BA,29,4753,Buritirama,21786
BA1888CAA,Bahia,Região Nordeste,BA,29,4803,Caatiba,7841
BA1889CAB,Bahia,Região Nordeste,BA,29,4852,Cabaceiras do Paraguaçu,19312
BA1890CAC,Bahia,Região Nordeste,BA,29,4902,Cachoeira,35139
BA1891CAC,Bahia,Região Nordeste,BA,29,5008,Caculé,23817
BA1892CAÉ,Bahia,Região Nordeste,BA,29,5107,Caém,10058
BA1893CAE,Bahia,Região Nordeste,BA,29,5156,Caetanos,16106
BA1894CAE,Bahia,Região Nordeste,BA,29,5206,Caetité,52853
BA1895CAF,Bahia,Região Nordeste,BA,29,5305,Cafarnaum,19006
BA1896CAI,Bahia,Região Nordeste,BA,29,5404,Cairu,18224
BA1897CAL,Bahia,Região Nordeste,BA,29,5503,Caldeirão Grande,13713
BA1898CAM,Bahia,Região Nordeste,BA,29,5602,Camacan,33310
BA1899CAM,Bahia,Região Nordeste,BA,29,5701,Camaçari,296893
BA1900CAM,Bahia,Região Nordeste,BA,29,5800,Camamu,36644
BA1901CAM,Bahia,Região Nordeste,BA,29,5909,Campo Alegre de Lourdes,30048
BA1902CAM,Bahia,Região Nordeste,BA,29,6006,Campo Formoso,73448
BA1903CAN,Bahia,Região Nordeste,BA,29,6105,Canápolis,10151
BA1904CAN,Bahia,Região Nordeste,BA,29,6204,Canarana,26862
BA1905CAN,Bahia,Região Nordeste,BA,29,6303,Canavieiras,33002
BA1906CAN,Bahia,Região Nordeste,BA,29,6402,Candeal,8837
BA1907CAN,Bahia,Região Nordeste,BA,29,6501,Candeias,89707
BA1908CAN,Bahia,Região Nordeste,BA,29,6600,Candiba,14792
BA1909CÂN,Bahia,Região Nordeste,BA,29,6709,Cândido Sales,26674
BA1910CAN,Bahia,Região Nordeste,BA,29,6808,Cansanção,36191
BA1911CAN,Bahia,Região Nordeste,BA,29,6824,Canudos,17316
BA1912CAP,Bahia,Região Nordeste,BA,29,6857,Capela do Alto Alegre,12199
BA1913CAP,Bahia,Região Nordeste,BA,29,6873,Capim Grosso,31392
BA1914CAR,Bahia,Região Nordeste,BA,29,6899,Caraíbas,9773
BA1915CAR,Bahia,Região Nordeste,BA,29,6907,Caravelas,22740
BA1916CAR,Bahia,Região Nordeste,BA,29,7004,Cardeal da Silva,9544
BA1917CAR,Bahia,Região Nordeste,BA,29,7103,Carinhanha,30118
BA1918CAS,Bahia,Região Nordeste,BA,29,7202,Casa Nova,73382
BA1919CAS,Bahia,Região Nordeste,BA,29,7301,Castro Alves,27238
BA1920CAT,Bahia,Região Nordeste,BA,29,7400,Catolândia,3669
BA1921CAT,Bahia,Região Nordeste,BA,29,7509,Catu,56459
BA1922CAT,Bahia,Região Nordeste,BA,29,7558,Caturama,9764
BA1923CEN,Bahia,Região Nordeste,BA,29,7608,Central,17969
BA1924CHO,Bahia,Região Nordeste,BA,29,7707,Chorrochó,11591
BA1925CÍC,Bahia,Região Nordeste,BA,29,7806,Cícero Dantas,34676
BA1926CIP,Bahia,Região Nordeste,BA,29,7905,Cipó,17739
BA1927COA,Bahia,Região Nordeste,BA,29,8002,Coaraci,19022
BA1928COC,Bahia,Região Nordeste,BA,29,8101,Cocos,19498
BA1929CON,Bahia,Região Nordeste,BA,29,8200,Conceição da Feira,23024
BA1930CON,Bahia,Região Nordeste,BA,29,8309,Conceição do Almeida,18229
BA1931CON,Bahia,Região Nordeste,BA,29,8408,Conceição do Coité,68303
BA1932CON,Bahia,Região Nordeste,BA,29,8507,Conceição do Jacuípe,33876
BA1933CON,Bahia,Região Nordeste,BA,29,8606,Conde,26371
BA1934CON,Bahia,Região Nordeste,BA,29,8705,Condeúba,18191
BA1935CON,Bahia,Região Nordeste,BA,29,8804,Contendas do Sincorá,4299
BA1936COR,Bahia,Região Nordeste,BA,29,8903,Coração de Maria,23896
BA1937COR,Bahia,Região Nordeste,BA,29,9000,Cordeiros,8904
BA1938COR,Bahia,Região Nordeste,BA,29,9109,Coribe,14933
BA1939COR,Bahia,Região Nordeste,BA,29,9208,Coronel João Sá,16814(3)
BA1940COR,Bahia,Região Nordeste,BA,29,9307,Correntina,33361
BA1941COT,Bahia,Região Nordeste,BA,29,9406,Cotegipe,14414
BA1942CRA,Bahia,Região Nordeste,BA,29,9505,Cravolândia,5576
BA1943CRI,Bahia,Região Nordeste,BA,29,9604,Crisópolis,21835
BA1944CRI,Bahia,Região Nordeste,BA,29,9703,Cristópolis,14403
BA1945CRU,Bahia,Região Nordeste,BA,29,9802,Cruz das Almas,64932
BA1946CUR,Bahia,Região Nordeste,BA,29,9901,Curaçá,35524
BA1947DÁR,Bahia,Região Nordeste,BA,29,10008,Dário Meira,11716
BA1948DIA,Bahia,Região Nordeste,BA,29,10057,Dias d'Ávila,80657
BA1949DOM,Bahia,Região Nordeste,BA,29,10107,Dom Basílio,12604
BA1950DOM,Bahia,Região Nordeste,BA,29,10206,Dom Macedo Costa,4212
BA1951ELÍ,Bahia,Região Nordeste,BA,29,10305,Elísio Medrado,8461
BA1952ENC,Bahia,Região Nordeste,BA,29,10404,Encruzilhada,19376
BA1953ENT,Bahia,Região Nordeste,BA,29,10503,Entre Rios,43223
BA1954ESP,Bahia,Região Nordeste,BA,29,10602,Esplanada,37845
BA1955EUC,Bahia,Região Nordeste,BA,29,10701,Euclides da Cunha,61924
BA1956EUN,Bahia,Região Nordeste,BA,29,10727,Eunápolis,115290
BA1957FÁT,Bahia,Região Nordeste,BA,29,10750,Fátima,18443
BA1958FEI,Bahia,Região Nordeste,BA,29,10776,Feira da Mata,5922
BA1959FEI,Bahia,Região Nordeste,BA,29,10800,Feira de Santana,627477
BA1960FIL,Bahia,Região Nordeste,BA,29,10859,Filadélfia,17176
BA1961FIR,Bahia,Região Nordeste,BA,29,10909,Firmino Alves,5822
BA1962FLO,Bahia,Região Nordeste,BA,29,11006,Floresta Azul,11244
BA1963FOR,Bahia,Região Nordeste,BA,29,11105,Formosa do Rio Preto,25912
BA1964GAN,Bahia,Região Nordeste,BA,29,11204,Gandu,33234
BA1965GAV,Bahia,Região Nordeste,BA,29,11253,Gavião,4725
BA1966GEN,Bahia,Região Nordeste,BA,29,11303,Gentio do Ouro,11639
BA1967GLÓ,Bahia,Região Nordeste,BA,29,11402,Glória,15840
BA1968GON,Bahia,Região Nordeste,BA,29,11501,Gongogi,7848
BA1969GOV,Bahia,Região Nordeste,BA,29,11600,Governador Mangabeira,21495
BA1970GUA,Bahia,Região Nordeste,BA,29,11659,Guajeru,8081
BA1971GUA,Bahia,Região Nordeste,BA,29,11709,Guanambi,86808
BA1972GUA,Bahia,Região Nordeste,BA,29,11808,Guaratinga,22154
BA1973HEL,Bahia,Região Nordeste,BA,29,11857,Heliópolis,13718
BA1974IAÇ,Bahia,Região Nordeste,BA,29,11907,Iaçu,25884
BA1975IBI,Bahia,Região Nordeste,BA,29,12004,Ibiassucê,10183
BA1976IBI,Bahia,Região Nordeste,BA,29,12103,Ibicaraí,23529
BA1977IBI,Bahia,Região Nordeste,BA,29,12202,Ibicoara,19786
BA1978IBI,Bahia,Região Nordeste,BA,29,12301,Ibicuí,16796
BA1979IBI,Bahia,Região Nordeste,BA,29,12400,Ibipeba,18678
BA1980IBI,Bahia,Região Nordeste,BA,29,12509,Ibipitanga,15413
BA1981IBI,Bahia,Região Nordeste,BA,29,12608,Ibiquera,4214
BA1982IBI,Bahia,Região Nordeste,BA,29,12707,Ibirapitanga,24293
BA1983IBI,Bahia,Região Nordeste,BA,29,12806,Ibirapuã,8852
BA1984IBI,Bahia,Região Nordeste,BA,29,12905,Ibirataia,17221
BA1985IBI,Bahia,Região Nordeste,BA,29,13002,Ibitiara,16855
BA1986IBI,Bahia,Região Nordeste,BA,29,13101,Ibititá,17948
